1stPrize,2ndPrize,3rdPrize,4to14Prize,noOfPlayers
5000,2000,1000,200,200
5000,2000,1000,195,199
5000,2000,1000,190,198
5000,2000,1000,185,197
5000,2000,1000,180,196
5000,2000,1000,175,195
5000,2000,1000,170,194
5000,2000,1000,165,193
5000,2000,1000,160,192
5000,2000,1000,155,191
5000,2000,1000,150,190
5000,2000,1000,145,189
5000,2000,1000,140,188
5000,2000,1000,135,187
5000,2000,1000,130,186
5000,2000,1000,125,185
5000,2000,1000,120,184
5000,2000,1000,115,183
5000,2000,1000,110,182
5000,2000,1000,105,181
5000,2000,1000,100,180
5000,2000,1000,0,179
5000,2000,1000,0,178
5000,2000,1000,0,177
5000,2000,1000,0,176
5000,2000,1000,0,175
5000,2000,1000,0,174
5000,2000,1000,0,173
5000,2000,1000,0,172
5000,2000,1000,0,171
5000,2000,1000,0,170
5000,2000,1000,0,169
5000,2000,1000,0,168
5000,2000,1000,0,167
5000,2000,1000,0,166
5000,2000,1000,0,165
5000,2000,1000,0,164
5000,2000,1000,0,163
5000,2000,1000,0,162
5000,2000,1000,0,161
5000,2000,1000,0,160
4968.75,1987.5,993.75,0,159
4937.5,1975,987.5,0,158
4906.25,1962.5,981.25,0,157
4875,1950,975,0,156
4843.75,1937.5,968.75,0,155
4812.5,1925,962.5,0,154
4781.25,1912.5,956.25,0,153
4750,1900,950,0,152
4718.75,1887.5,943.75,0,151
4687.5,1875,937.5,0,150
4656.25,1862.5,931.25,0,149
4625,1850,925,0,148
4593.75,1837.5,918.75,0,147
4562.5,1825,912.5,0,146
4531.25,1812.5,906.25,0,145
4500,1800,900,0,144
4468.75,1787.5,893.75,0,143
4437.5,1775,887.5,0,142
4406.25,1762.5,881.25,0,141
4375,1750,875,0,140
4343.75,1737.5,868.75,0,139
4312.5,1725,862.5,0,138
4281.25,1712.5,856.25,0,137
4250,1700,850,0,136
4218.75,1687.5,843.75,0,135
4187.5,1675,837.5,0,134
4156.25,1662.5,831.25,0,133
4125,1650,825,0,132
4093.75,1637.5,818.75,0,131
4062.5,1625,812.5,0,130
4031.25,1612.5,806.25,0,129
4000,1600,800,0,128
3968.75,1587.5,793.75,0,127
3937.5,1575,787.5,0,126
3906.25,1562.5,781.25,0,125
3875,1550,775,0,124
3843.75,1537.5,768.75,0,123
3812.5,1525,762.5,0,122
3781.25,1512.5,756.25,0,121
3750,1500,750,0,120
3718.75,1487.5,743.75,0,119
3687.5,1475,737.5,0,118
3656.25,1462.5,731.25,0,117
3625,1450,725,0,116
3593.75,1437.5,718.75,0,115
3562.5,1425,712.5,0,114
3531.25,1412.5,706.25,0,113
3500,1400,700,0,112
3468.75,1387.5,693.75,0,111
3437.5,1375,687.5,0,110
3406.25,1362.5,681.25,0,109
3375,1350,675,0,108
3343.75,1337.5,668.75,0,107
3312.5,1325,662.5,0,106
3281.25,1312.5,656.25,0,105
3250,1300,650,0,104
3218.75,1287.5,643.75,0,103
3187.5,1275,637.5,0,102
3156.25,1262.5,631.25,0,101
3125,1250,625,0,100
3093.75,1237.5,618.75,0,99
3062.5,1225,612.5,0,98
3031.25,1212.5,606.25,0,97
3000,1200,600,0,96
2968.75,1187.5,593.75,0,95
2937.5,1175,587.5,0,94
2906.25,1162.5,581.25,0,93
2875,1150,575,0,92
2843.75,1137.5,568.75,0,91
2812.5,1125,562.5,0,90
2781.25,1112.5,556.25,0,89
2750,1100,550,0,88
2718.75,1087.5,543.75,0,87
2687.5,1075,537.5,0,86
2656.25,1062.5,531.25,0,85
2625,1050,525,0,84
2593.75,1037.5,518.75,0,83
2562.5,1025,512.5,0,82
2531.25,1012.5,506.25,0,81
2500,1000,500,0,80
2500,1000,450,0,79
2500,1000,400,0,78
2500,1000,350,0,77
2500,1000,300,0,76
2500,1000,250,0,75
2500,1000,0,0,74
2500,1000,0,0,73
2500,1000,0,0,72
2500,1000,0,0,71
2500,1000,0,0,70
2500,950,0,0,69
2500,900,0,0,68
2500,850,0,0,67
2500,800,0,0,66
2500,750,0,0,65
2500,700,0,0,64
2500,650,0,0,63
2500,600,0,0,62
2500,550,0,0,61
2500,500,0,0,60
2500,0,0,0,59
2500,0,0,0,58
2500,0,0,0,57
2500,0,0,0,56
2500,0,0,0,55
2500,0,0,0,54
2500,0,0,0,53
2500,0,0,0,52
2500,0,0,0,51
2500,0,0,0,50
2450,0,0,0,49
2400,0,0,0,48
2350,0,0,0,47
2300,0,0,0,46
2250,0,0,0,45
2200,0,0,0,44
2150,0,0,0,43
2100,0,0,0,42
2050,0,0,0,41
2000,0,0,0,40
1950,0,0,0,39
1900,0,0,0,38
1850,0,0,0,37
1800,0,0,0,36
1750,0,0,0,35
1700,0,0,0,34
1650,0,0,0,33
1600,0,0,0,32
1550,0,0,0,31
1500,0,0,0,30
1450,0,0,0,29
1400,0,0,0,28
1350,0,0,0,27
1300,0,0,0,26
1250,0,0,0,25
1200,0,0,0,24
1150,0,0,0,23
1100,0,0,0,22
1050,0,0,0,21
1000,0,0,0,20
950,0,0,0,19
900,0,0,0,18
850,0,0,0,17
800,0,0,0,16
750,0,0,0,15
700,0,0,0,14
650,0,0,0,13
600,0,0,0,12
550,0,0,0,11
500,0,0,0,10
450,0,0,0,9
400,0,0,0,8
350,0,0,0,7
300,0,0,0,6
250,0,0,0,5
200,0,0,0,4
150,0,0,0,3
100,0,0,0,2
50,0,0,0,1
0,0,0,0,0
